Code,subcode,Offence description,Violent offence
03701,3701.0,"Aggravated Taking of a Vehicle: Where, owing to the driving of the vehicle, an accident occurs causing the death of any person",Yes
03702,3702.0,"Aggravated Taking of a Vehicle: Where the vehicle was driven dangerously, where injury to any person or damage to any property was caused, or damage was caused to the vehicle",No
03800,3800.0,Money Laundering offences (not drugs)    [Use this code only if you are unable to determine which subcoded Offence applies],No
03801,3801.0,Concealing or transferring proceeds of criminal conduct,No
03802,3802.0,"Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person",No
03803,3803.0,"Acquisition, use & possession - criminal property",No
03804,3804.0,Failure to disclose; another person involved in money laundering - regulated sector,No
03805,3805.0,Failure to disclose; another person involved in money laundering - nominated officers in the regulated sector,No
03806,3806.0,Failure to disclose; another person involved in money laundering - other nominated officers in the regulated sector,No
03807,3807.0,Tipping off - suspects a disclosure has been made; makes a disclosure likely to prejudice an investigation. Tipping off – regulated sector – disclosure of S.21D(2) matters or that investigations into allegation of offence committed is being considered,No
03808,3808.0,Money Laundering offences - Nominated officer; must not give consent to the doing of a prohibited act,No
03809,3809.0,Money Laundering Regulations 2007,No
03900,3900.0,Stealing from the person of another,No
04000,4000.0,Stealing in a dwelling other than from automatic machines and meters,No
04100,4100.0,Stealing by an employee,No
04200,4200.0,Stealing mail bags or postal packets or unlawfully taking away or opening mail bag,No
04300,4300.0,Abstracting electricity,No
04400,4400.0,Stealing pedal cycles,No
04500,4500.0,Stealing from vehicles    [Use this code only if you are unable to determine which subcoded Offence applies],No
04510,4510.0,Stealing from vehicles: From motor vehicles,No
04511,4511.0,Stealing from vehicles: From other vehicles,No
04600,4600.0,Stealing from shops and stalls (shoplifting),No
04700,4700.0,Stealing from automatic machines and meters,No
04800,4800.0,Stealing and unauthorised taking of motor vehicles    [Use this code only if you are unable to determine which subcoded Offence applies],No
04801,4801.0,Stealing motor vehicle,No
04900,4900.0,Other stealing and unauthorised taking    [Use this code only if you are unable to determine which subcoded Offence applies],No
04901,4901.0,Simple larceny (offences not included in headings 44 to 48) (1963-68),No
04910,4910.0,Offences under the Theft Act 1968 S.1 not classified elsewhere,No
04911,4911.0,Removal of articles on show from places open to the public,No
04912,4912.0,Stealing conveyance other than motor vehicle or pedal cycle,No
05000,5000.0,Obtaining goods by false pretences,No
05100,5100.0,Frauds by company directors etc    [Use this code only if you are unable to determine which subcoded Offence applies],No
05101,5101.0,False statements by company directors etc. (under Theft Act 1968 S.19),No
05102,5102.0,Frauds by company directors other than sub-classification 1,No
05103,5103.0,Frauds by company directors other than 51/01 (under Companies Act 1985 S.458; Financial Services Act 1986 S.200(1)),No
05104,5104.0,Give false information knowingly or recklessly when applying for a Confidentiality Order or for providing confidential information in breach of Regulations made under S.723C - Companies Act 1985,No
05105,5105.0,Knowingly or recklessly making false or misleading statement in S.116 request to inspect or copy register - Companies Act 2006,No
05106,5106.0,Carrying on business of company with intent to defraud creditors or for other fraudulent purpose,No
05200,5200.0,False accounting    [Use this code only if you are unable to determine which subcoded Offence applies],No
05201,5201.0,False accounting,No
05202,5202.0,Failing to keep proper accounting records,No
05203,5203.0,Authorising failure to keep proper accounting records,No
05204,5204.0,Permitting failure to keep proper accounts,No
05205,5205.0,Failing to secure preservation of accounting records,No
05206,5206.0,Failing to keep accounting records open to inspection.,No
05207,5207.0,Failure to comply with provisions of S.386 re keeping of accounting records,No
05208,5208.0,Failure to comply with requirements of S.388 about place of keeping of accounting records and accuracy,No
05209,5209.0,Failure to comply with S.414 requirements concerning approval and signing of accounts,No
05210,5210.0,Failure to comply with requirements concerning approval and signing of abbreviated accounts,No
05211,5211,Failure to provide up-to-date information on People with Significant Control (PSC) register,No
05212,5212,Offences in connection with request for or disclosure of information from People with Significant Control (PSC) register,No
05300,5300.0,Other Frauds    [Use this code only if you are unable to determine which subcoded Offence applies],No
05301,5301.0,Obtaining property by deception,No
05302,5302.0,Obtaining pecuniary advantage by deception (except railway frauds),No
05304,5304.0,Conspiracy to defraud,No
05305,5305.0,Purporting to act as a spiritualistic medium for reward,No
05306,5306.0,Taking marks from public stores,No
05308,5308.0,Fraudulent issue of money orders by Post Office servant,No
05310,5310.0,"Fraudulently retaining, secreting etc. postal packet or mail bag",No
05311,5311.0,"Fraudulently printing, mutilating or re-issuing stamps",No
05313,5313.0,Frauds by farmers in connection with agricultural charges,No
05314,5314.0,Cheating at play etc.,No
05315,5315.0,"Dishonestly destroying, defacing or concealing a document",No
05316,5316.0,Dishonestly procuring execution of a document,No
05320,5320.0,Railway frauds,No
05321,5321.0,Frauds in connection with sale of land etc. Law of Property Act 1925 S.183,No
05322,5322.0,Frauds in connection with sale of land etc. Land Registration Act 1925 SS.115-117,No
05323,5323.0,Obtaining services by deception (except railway frauds),No
05324,5324.0,Evasion of liability by deception (except railway frauds),No
05325,5325.0,Making off without payment,No
05326,5326.0,Assisting another to retain the benefit of criminal conduct,No
05327,5327.0,"Acquisition, possession or use of proceeds of criminal conduct",No
05328,5328.0,Concealing or transferring proceeds of criminal conduct,No
05329,5329.0,Disclosure of information likely to prejudice a investigation. (Tipping off),No
05330,5330.0,Insider dealing,No
05331,5331.0,Obtaining a money transfer by deception,No
05332,5332.0,Dishonestly retaining a wrongful credit,No
05333,5333.0,Dishonest representation for obtaining benefit etc.,No
05334,5334.0,Unauthorised access with intent to commit or facilitate commission of further offences,No
05335,5335.0,"Unauthorised acts with intent to impair, or with recklessness as to impairing, operation of computer, etc",No
05336,5336.0,Knowingly concerned in fraudulent evasion of contributions,No
05337,5337.0,Cartel offences,No
05338,5338.0,Corrupt transactions with agents,No
05339,5339.0,Obtaining an award or a sum by deliberately committing an act or making an omission,No
05340,5340.0,Dishonestly making a false representation to make a gain for oneself or another or to cause loss to another or to expose another to a risk,No
05341,5341.0,Dishonestly failing to disclose information to make a gain for oneself or another or to cause loss to another or to expose another to a risk,No
05342,5342.0,Committing fraud by dishonestly abusing one's position,No
05343,5343.0,Possession etc. of articles for use in frauds,No
05344,5344.0,"Making, adapting, supplying or offering to supply any article knowing that it is designed or adapted for use in the course of or in connection with fraud, or intending it to be used to commit or facilitate fraud",No
05345,5345.0,Participating in fraudulent business carried on by sole trader,No
05346,5346.0,"By any dishonest act obtaining services for which payment is required, with intent to avoid payment including attaching a decoder to a television to enable viewing access to cable or satellite television channels for which there is no intention of paying",No
05352,5352.0,In the course or registration proceedings suppressing information with intention of concealing a person's right or claim or substantiating a false claim,No
05353,5353.0,Inducing another to change the register of title or cautions register or to authorise the making of such a change,No
